# shape:
# 81 61
# lat  lon  height  topo  gravity  disturbance  topo_effect  bouguer  sediment_effect  moho_anomaly
-5.900000000000000000e+01 2.840000000000000000e+02 1.000000000000000000e+04 -5.021000000000000000e+03 9.787658262023113202e+05 4.787003353005275130e+00 -3.603876327223659928e+02 3.651746360753712679e+02 -1.229378956462143790e+01 3.774684256399926880e+02
-5.900000000000000000e+01 2.850000000000000000e+02 1.000000000000000000e+04 -4.570000000000000000e+03 9.787632179470632691e+05 2.178748104954138398e+00 -3.388382568020565486e+02 3.410170049070106870e+02 -1.238347051015853673e+01 3.534004754171692184e+02
-5.900000000000000000e+01 2.860000000000000000e+02 1.000000000000000000e+04 -4.308000000000000000e+03 9.787656546147342306e+05 4.615415775915607810e+00 -3.244462578575391944e+02 3.290616736334548023e+02 -1.198689311275106206e+01 3.410485667462058927e+02
-5.900000000000000000e+01 2.870000000000000000e+02 1.000000000000000000e+04 -4.529000000000000000e+03 9.787713676952391397e+05 1.032849628082476556e+01 -3.304427360617659701e+02 3.407712323425907357e+02 -1.086741590659908852e+01 3.516386482491898278e+02
-5.900000000000000000e+01 2.880000000000000000e+02 1.000000000000000000e+04 -4.397000000000000000e+03 9.787693826306775445e+05 8.343431719229556620e+00 -3.213794335513503029e+02 3.297228652705798595e+02 -9.836368011206879203e+00 3.395592332817867600e+02
-5.900000000000000000e+01 2.890000000000000000e+02 1.000000000000000000e+04 -3.730000000000000000e+03 9.787795234748921357e+05 1.848427593382075429e+01 -2.895227580427251155e+02 3.080070339765458698e+02 -9.010303142832512435e+00 3.170173371193783964e+02
-5.900000000000000000e+01 2.900000000000000000e+02 1.000000000000000000e+04 -3.911000000000000000e+03 9.787873739151622867e+05 2.633471620397176594e+01 -2.916729191601064599e+02 3.180076353640782258e+02 -7.901690115350714194e+00 3.259093254794289578e+02
-5.900000000000000000e+01 2.910000000000000000e+02 1.000000000000000000e+04 -3.635000000000000000e+03 9.787862915288779186e+05 2.525232991960365325e+01 -2.777823635475019159e+02 3.030346934671055692e+02 -7.397565255311485011e+00 3.104322587224170320e+02
-5.900000000000000000e+01 2.920000000000000000e+02 1.000000000000000000e+04 -3.655000000000000000e+03 9.787853119098746683e+05 2.427271091635338962e+01 -2.752796884539744724e+02 2.995523993703278620e+02 -8.108710606976961444e+00 3.076611099773048181e+02
-5.900000000000000000e+01 2.930000000000000000e+02 1.000000000000000000e+04 -3.479000000000000000e+03 9.787875147076727590e+05 2.647550871444400400e+01 -2.626568821275429855e+02 2.891323908419869895e+02 -9.006044486925574688e+00 2.981384353289125784e+02
-5.900000000000000000e+01 2.940000000000000000e+02 1.000000000000000000e+04 -2.584000000000000000e+03 9.787949540430172347e+05 3.391484405891969800e+01 -2.246435013549505868e+02 2.585583454138702564e+02 -9.230234171170520696e+00 2.677885795850407931e+02
-5.900000000000000000e+01 2.950000000000000000e+02 1.000000000000000000e+04 -3.759000000000000000e+03 9.787924552293682937e+05 3.141603040997870266e+01 -2.777698474404382409e+02 3.091858778504169436e+02 -9.209169902189636048e+00 3.183950477526065583e+02
-5.900000000000000000e+01 2.960000000000000000e+02 1.000000000000000000e+04 -3.852000000000000000e+03 9.787865619043814950e+05 2.552270542318001390e+01 -2.883889064527277242e+02 3.139116118759077381e+02 -9.184945966681707930e+00 3.230965578425894478e+02
-5.900000000000000000e+01 2.970000000000000000e+02 1.000000000000000000e+04 -4.021000000000000000e+03 9.787860465437173843e+05 2.500734475906938314e+01 -2.969375234392846892e+02 3.219448681983540723e+02 -9.339143905718023220e+00 3.312840121040720760e+02
-5.900000000000000000e+01 2.980000000000000000e+02 1.000000000000000000e+04 -3.779000000000000000e+03 9.787910211155322613e+05 2.998191657394636422e+01 -2.878686237984131822e+02 3.178505403723595464e+02 -9.849039703809305379e+00 3.276995800761688429e+02
-5.900000000000000000e+01 2.990000000000000000e+02 1.000000000000000000e+04 -3.948000000000000000e+03 9.788014008642976405e+05 4.036166533932555467e+01 -2.940548725418425988e+02 3.344165378811681535e+02 -1.099863669070673922e+01 3.454151745718748998e+02
-5.900000000000000000e+01 3.000000000000000000e+02 1.000000000000000000e+04 -3.828000000000000000e+03 9.787879698488657596e+05 2.693064990744460374e+01 -2.880974380024073298e+02 3.150280879098519335e+02 -1.409986137103128101e+01 3.291279492808832288e+02
-5.900000000000000000e+01 3.010000000000000000e+02 1.000000000000000000e+04 -3.488000000000000000e+03 9.787720364311356097e+05 1.099723217729479074e+01 -2.723702950710836603e+02 2.833675272483784511e+02 -1.910379463572921566e+01 3.024713218841076809e+02
-5.900000000000000000e+01 3.020000000000000000e+02 1.000000000000000000e+04 -3.687000000000000000e+03 9.787862087056979071e+05 2.516950673959217966e+01 -2.801996025059846716e+02 3.053691092455768512e+02 -2.383283799188817653e+01 3.292019472374650491e+02
-5.900000000000000000e+01 3.030000000000000000e+02 1.000000000000000000e+04 -3.662000000000000000e+03 9.787931012416183949e+05 3.206204266007989645e+01 -2.804504516821471611e+02 3.125124943422270576e+02 -2.735207471638913646e+01 3.398645690586162118e+02
-5.900000000000000000e+01 3.040000000000000000e+02 1.000000000000000000e+04 -3.768000000000000000e+03 9.787912142039634055e+05 3.017500500509049743e+01 -2.855833851312232810e+02 3.157583901363137784e+02 -2.843737416917892702e+01 3.441957643054927303e+02
-5.900000000000000000e+01 3.050000000000000000e+02 1.000000000000000000e+04 -3.831000000000000000e+03 9.787930554723239038e+05 3.201627336558885872e+01 -2.882418126957174422e+02 3.202580860613063010e+02 -2.848474671473437425e+01 3.487428327760407001e+02
-5.900000000000000000e+01 3.060000000000000000e+02 1.000000000000000000e+04 -3.671000000000000000e+03 9.787846162546058185e+05 2.357705564750358462e+01 -2.809225408563218025e+02 3.044995965038253871e+02 -2.944660997427952864e+01 3.339462064781048980e+02
-5.900000000000000000e+01 3.070000000000000000e+02 1.000000000000000000e+04 -3.645000000000000000e+03 9.787834337434606859e+05 2.239454450237099081e+01 -2.779675194694499964e+02 3.003620639718209873e+02 -3.025058382471787155e+01 3.306126477965388517e+02
-5.900000000000000000e+01 3.080000000000000000e+02 1.000000000000000000e+04 -3.438000000000000000e+03 9.787887091788887046e+05 2.766997993038967252e+01 -2.645639023944851829e+02 2.922338823248748554e+02 -3.103291621420212820e+01 3.232667985390770014e+02
-5.900000000000000000e+01 3.090000000000000000e+02 1.000000000000000000e+04 -2.508000000000000000e+03 9.787884257480929373e+05 2.738654913462232798e+01 -2.247850267738496939e+02 2.521715759084720219e+02 -3.179387069518653419e+01 2.839654466036585632e+02
-5.900000000000000000e+01 3.100000000000000000e+02 1.000000000000000000e+04 -3.775000000000000000e+03 9.787931034450472798e+05 3.206424608896486461e+01 -2.801886474246555281e+02 3.122528935136203927e+02 -3.059132100433952672e+01 3.428442145179599265e+02
-5.900000000000000000e+01 3.110000000000000000e+02 1.000000000000000000e+04 -3.816000000000000000e+03 9.787952084511358989e+05 3.416925217758398503e+01 -2.869339740056652204e+02 3.211032261832492054e+02 -2.986243489006258045e+01 3.509656610733117645e+02
-5.900000000000000000e+01 3.120000000000000000e+02 1.000000000000000000e+04 -3.929000000000000000e+03 9.787945519825892989e+05 3.351278363098390400e+01 -2.861215958740279461e+02 3.196343795050118501e+02 -3.154627957303202024e+01 3.511806590780438455e+02
