# Generated by process-sam-gravity-data.ipynb on 17 January 2016 20:04:32 UTC
# shape (nlat, nlon):
# 81 61
# lat lon height topo gravity disturbance topo_effect bouguer upper_sediment middle_sediment lower_sediment total_sediment sedfree_bouguer
-58.00000 280.00000 50000.00000 -4630.00000 966511.88385 -1.90505 -328.37391 326.46886 -7.32305 -1.04954 -0.02706 -8.39965 334.86851
-58.00000 281.00000 50000.00000 -4853.00000 966513.70429 -0.08460 -328.00792 327.92331 -7.60958 -1.07852 -0.02765 -8.71575 336.63906
-58.00000 282.00000 50000.00000 -4747.00000 966512.12308 -1.66581 -324.94220 323.27639 -8.09812 -1.11058 -0.02828 -9.23698 332.51337
-58.00000 283.00000 50000.00000 -4493.00000 966512.69755 -1.09134 -320.19249 319.10115 -8.55832 -1.14613 -0.02897 -9.73342 328.83457
-58.00000 284.00000 50000.00000 -4625.00000 966515.37109 1.58219 -317.58697 319.16916 -8.84138 -1.18555 -0.02970 -10.05663 329.22580
-58.00000 285.00000 50000.00000 -4754.00000 966514.09477 0.30587 -313.59904 313.90492 -8.92088 -1.22921 -0.03044 -10.18053 324.08545
-58.00000 286.00000 50000.00000 -4697.00000 966516.16927 2.38037 -305.11748 307.49785 -8.82524 -1.27739 -0.03117 -10.13380 317.63166
-58.00000 287.00000 50000.00000 -4040.00000 966521.56614 7.77724 -291.77466 299.55190 -8.48426 -1.33025 -0.03188 -9.84638 309.39828
-58.00000 288.00000 50000.00000 -4201.00000 966525.55401 11.76512 -283.69791 295.46303 -8.06350 -1.38762 -0.03252 -9.48363 304.94666
-58.00000 289.00000 50000.00000 -4135.00000 966531.25548 17.46659 -273.26174 290.72833 -7.85115 -1.44840 -0.03312 -9.33267 300.06099
-58.00000 290.00000 50000.00000 -3291.00000 966533.45264 19.66375 -257.60031 277.26406 -7.89268 -1.50997 -0.03368 -9.43633 286.70039
-58.00000 291.00000 50000.00000 -3417.00000 966532.87085 19.08195 -251.73089 270.81284 -8.12715 -1.56865 -0.03428 -9.73008 280.54292
-58.00000 292.00000 50000.00000 -3796.00000 966535.38363 21.59473 -249.19598 270.79071 -8.75866 -1.62230 -0.03498 -10.41594 281.20665
-58.00000 293.00000 50000.00000 -3263.00000 966536.35464 22.56575 -239.86767 262.43341 -9.65913 -1.67209 -0.03588 -11.36710 273.80051
-58.00000 294.00000 50000.00000 -2481.00000 966536.63017 22.84127 -240.73605 263.57732 -10.24498 -1.72095 -0.03704 -12.00297 275.58029
-58.00000 295.00000 50000.00000 -4982.00000 966537.00079 23.21189 -267.29173 290.50362 -10.59367 -1.77077 -0.03853 -12.40298 302.90660
-58.00000 296.00000 50000.00000 -3402.00000 966534.75451 20.96562 -264.61482 285.58044 -11.10600 -1.82119 -0.04031 -12.96751 298.54794
-58.00000 297.00000 50000.00000 -3890.00000 966536.74463 22.95573 -265.51028 288.46602 -11.75259 -1.86967 -0.04227 -13.66453 302.13055
-58.00000 298.00000 50000.00000 -3756.00000 966542.74099 28.95209 -262.77654 291.72863 -12.45910 -1.91215 -0.04417 -14.41542 306.14405
-58.00000 299.00000 50000.00000 -3030.00000 966544.62898 30.84009 -258.24079 289.08087 -13.41144 -1.94412 -0.04568 -15.40124 304.48211
-58.00000 300.00000 50000.00000 -4236.00000 966544.57688 30.78798 -266.85564 297.64362 -15.37589 -1.96187 -0.04648 -17.38424 315.02786
-58.00000 301.00000 50000.00000 -3362.00000 966546.08634 32.29744 -264.65316 296.95059 -18.77598 -1.96346 -0.04639 -20.78582 317.73642
-58.00000 302.00000 50000.00000 -3990.00000 966545.89149 32.10260 -270.92136 303.02396 -22.40086 -1.94913 -0.04539 -24.39538 327.41933
-58.00000 303.00000 50000.00000 -3927.00000 966543.30314 29.51424 -274.75396 304.26820 -24.81811 -1.92134 -0.04370 -26.78314 331.05134
