# Synthetic point estimates of Moho depth (from CRUST1.0)
# Generated by sinthetic-crust1.ipynb on 12 February 2016 18:08:15 UTC
# Moho depth is given in meters.
# lat lon depth
-32.00000 -70.00000 56268.63854
-32.00000 -69.50000 58050.72835
-32.00000 -69.00000 56557.74284
-32.00000 -68.50000 54066.88635
-32.60000 -69.50000 55619.56814
-27.42400 -68.14400 55490.07953
-27.11100 -68.09000 55012.09191
-27.48800 -69.25700 57633.09478
-26.54000 -69.02100 54491.33450
-27.11200 -66.94400 52336.46439
-27.50800 -67.14700 51763.65607
-27.64100 -66.59800 47718.45228
-27.34100 -66.37000 48248.96223
-26.15700 -69.23700 52560.91216
-25.36700 -69.42600 46458.78668
-27.83300 -68.09800 55267.08571
-26.85100 -68.27700 55036.70873
-26.90600 -68.55200 55280.18573
-26.88100 -68.66600 55353.72255
-26.91000 -68.76700 55572.48442
-27.05100 -67.68800 54298.64615
-27.33600 -67.77400 54362.21994
-27.44400 -67.69400 54066.17575
-27.48000 -67.60300 53678.42131
-27.56900 -67.61300 53610.76122
-27.70800 -67.62500 53604.60983
-27.90100 -67.62900 53911.66417
-51.57000 -72.62000 30287.78835
-52.06000 -70.00000 32388.78876
-52.55000 -72.03000 29944.60150
-53.61000 -70.93000 31249.82113
-54.14000 -68.71000 34611.95402
-15.42550 -70.14200 68170.89398
-15.37880 -70.16850 68588.90566
-15.32070 -70.19960 69076.69591
-15.29610 -70.24220 69441.83022
-15.26000 -70.28000 69816.13602
-15.22820 -70.32980 70203.97994
-15.16880 -70.35720 70566.18751
-15.04610 -70.41290 71128.77417
-14.99100 -70.40430 71129.20668
-14.97940 -70.45930 71392.51069
-14.94180 -70.52370 71663.47716
-14.92390 -70.56200 71842.14282
-14.88360 -70.60900 72070.66493
-14.83170 -70.65770 72287.48774
-14.79020 -70.72640 72516.47624
-14.72400 -70.74490 72143.19526
-14.64870 -70.75010 71535.76941
-14.61250 -70.78790 71308.97685
-14.59390 -70.85250 71276.41905
-14.53830 -70.88300 70811.62126
-14.49640 -70.94020 70485.96685
-14.48300 -70.98870 70399.79584
-14.47440 -71.04500 70332.35549
-14.45050 -71.07370 70090.84627
-14.40450 -71.13240 69584.65380
-14.36160 -71.15600 69098.74335
-14.33070 -71.19370 68716.07485
-14.27970 -71.22900 68083.76038
-14.24160 -71.26520 67587.16842
-14.20060 -71.31370 67039.07625
-14.18630 -71.37040 66791.52380
-14.14160 -71.40250 66232.03037
-14.09860 -71.43430 65697.67376
-14.04300 -71.44830 65031.94489
-13.98540 -71.48560 64330.92937
-13.87130 -71.51900 62925.67683
-13.82640 -71.50560 62306.33105
-13.78020 -71.57540 61809.97384
-13.73710 -71.59900 61272.83904
-13.68780 -71.62420 60670.90811
-13.65930 -71.68460 60587.90326
-13.61500 -71.72340 60521.19024
-13.60020 -71.77120 60873.68812
-13.57250 -71.82390 61167.89218
-13.55020 -71.88560 61585.93807
-13.52750 -71.94180 61927.81838
-15.36260 -75.16020 28920.45250
