# Moho of South America estimated by gravity data inversion
# See the source code for the inversion at:
#   https://github.com/pinga-lab/paper-moho-inversion-tesseroids
# Generated by south-america-moho.ipynb on 11 February 2016 18:14:30 UTC
# Model grid shape (nlat, nlon):
#   201 151
# Latitude and longitude values correspond to the center of each
# model cell.
# Moho depth is provided in meters.
# Columns:
# lat lon Moho_depth
-58.80000 290.80000 16905.79123
-58.80000 291.20000 16910.57302
-58.80000 291.60000 16775.21011
-58.80000 292.00000 16673.30944
-58.80000 292.40000 16755.52673
-58.80000 292.80000 16961.76201
-58.80000 293.20000 17158.46192
-58.80000 293.60000 17309.65547
-58.80000 294.00000 17332.14389
-58.80000 294.40000 17122.69732
-58.80000 294.80000 16827.40860
-58.80000 295.20000 16640.38170
-58.80000 295.60000 16474.69591
-58.80000 296.00000 16341.29956
-58.80000 296.40000 16346.69659
-58.80000 296.80000 16494.18487
-58.80000 297.20000 16710.09977
-58.80000 297.60000 16922.65944
-58.80000 298.00000 17027.64438
-58.80000 298.40000 17031.77573
-58.80000 298.80000 17003.15210
-58.80000 299.20000 16802.76767
-58.80000 299.60000 16460.05212
-58.80000 300.00000 16215.64437
-58.80000 300.40000 16144.91074
-58.80000 300.80000 16167.93358
-58.80000 301.20000 16011.20111
-58.80000 301.60000 15578.83909
-58.80000 302.00000 15120.36036
-58.80000 302.40000 14823.40560
-58.80000 302.80000 14778.75981
-58.80000 303.20000 14875.02424
-58.80000 303.60000 14870.23845
-58.80000 304.00000 14630.23527
-58.80000 304.40000 14193.21898
-58.80000 304.80000 13736.44720
-58.80000 305.20000 13461.76128
-58.80000 305.60000 13481.55402
-58.80000 306.00000 13764.65757
-58.80000 306.40000 14141.19297
-58.80000 306.80000 14453.77946
-58.80000 307.20000 14679.57841
-58.80000 307.60000 15025.88139
-58.80000 308.00000 15704.00608
-58.80000 308.40000 16776.63355
-58.80000 308.80000 17941.22678
-58.80000 309.20000 18454.48133
-58.80000 309.60000 17894.33335
-58.80000 310.00000 16669.45654
-58.80000 310.40000 15482.91922
-58.80000 310.80000 14710.43364
-58.80000 311.20000 14385.32193
-58.80000 311.60000 14403.88723
-58.80000 312.00000 14669.10483
-58.80000 312.40000 15161.47986
-58.80000 312.80000 15838.79677
-58.80000 313.20000 16443.03800
-58.80000 313.60000 16741.21421
-58.80000 314.00000 17047.94363
-58.80000 314.40000 17836.50643
-58.80000 314.80000 19015.07540
-58.80000 315.20000 20025.81136
-58.80000 315.60000 20376.31536
-58.80000 316.00000 19835.97102
-58.80000 316.40000 18602.86428
-58.80000 316.80000 17327.23370
-58.80000 317.20000 16610.64696
-58.80000 317.60000 16498.66537
-58.80000 318.00000 16897.96551
-58.80000 318.40000 17585.49266
-58.80000 318.80000 18334.36684
-58.80000 319.20000 19081.89218
-58.80000 319.60000 19570.20506
-58.80000 320.00000 19500.16579
-58.80000 320.40000 18869.08195
-58.80000 320.80000 18158.27490
-58.80000 321.20000 17847.49764
-58.80000 321.60000 18065.53909
-58.80000 322.00000 18577.74276
-58.80000 322.40000 19195.34566
-58.80000 322.80000 19966.74427
-58.80000 323.20000 20956.72942
-58.80000 323.60000 21899.30339
-58.80000 324.00000 22261.85546
-58.80000 324.40000 21964.58298
-58.80000 324.80000 21344.30011
-58.80000 325.20000 20797.12834
-58.80000 325.60000 20339.68554
-58.80000 326.00000 19725.68628
-58.80000 326.40000 18974.15384
-58.80000 326.80000 18203.42027
-58.80000 327.20000 17402.10845
-58.80000 327.60000 16634.97174
-58.80000 328.00000 16022.14427
-58.80000 328.40000 15384.10784
-58.80000 328.80000 14685.17776
-58.80000 329.20000 14524.82393
-58.80000 329.60000 16173.77496
-58.80000 330.00000 20709.07017
-58.40000 270.00000 23923.62817
-58.40000 270.40000 16028.45261
-58.40000 270.80000 12367.64252
-58.40000 271.20000 11526.36392
-58.40000 271.60000 11825.57118
-58.40000 272.00000 12400.87789
-58.40000 272.40000 12836.18752
-58.40000 272.80000 12898.87140
-58.40000 273.20000 12641.37445
-58.40000 273.60000 12287.66895
-58.40000 274.00000 12107.34550
-58.40000 274.40000 12193.38535
-58.40000 274.80000 12465.79361
-58.40000 275.20000 12762.90349
-58.40000 275.60000 12973.05006
-58.40000 276.00000 13089.48982
-58.40000 276.40000 13152.07379
-58.40000 276.80000 13234.95444
-58.40000 277.20000 13353.79957
-58.40000 277.60000 13391.71979
-58.40000 278.00000 13439.60183
-58.40000 278.40000 13662.39178
-58.40000 278.80000 13910.73156
-58.40000 279.20000 14166.18585
-58.40000 279.60000 14413.66856
-58.40000 280.00000 14470.60077
-58.40000 280.40000 14293.02282
-58.40000 280.80000 14077.08785
-58.40000 281.20000 13988.23261
-58.40000 281.60000 14139.08633
-58.40000 282.00000 14351.39143
-58.40000 282.40000 14343.60541
-58.40000 282.80000 14138.30607
-58.40000 283.20000 13868.60200
-58.40000 283.60000 13751.02972
-58.40000 284.00000 13927.56600
-58.40000 284.40000 14342.68925
-58.40000 284.80000 14857.78713
-58.40000 285.20000 15264.91240
-58.40000 285.60000 15393.14475
-58.40000 286.00000 15285.72802
-58.40000 286.40000 15045.15616
-58.40000 286.80000 14912.97493
-58.40000 287.20000 15188.24571
-58.40000 287.60000 15746.94544
-58.40000 288.00000 16206.84132
-58.40000 288.40000 16401.53419
-58.40000 288.80000 16430.62279
-58.40000 289.20000 16463.33217
-58.40000 289.60000 16637.27422
-58.40000 290.00000 17008.64802
-58.40000 290.40000 17422.86106
-58.40000 290.80000 17619.86145
-58.40000 291.20000 17499.91851
-58.40000 291.60000 17084.38210
-58.40000 292.00000 16766.32366
-58.40000 292.40000 16806.48039
-58.40000 292.80000 17053.84446
-58.40000 293.20000 17260.87736
-58.40000 293.60000 17338.11086
-58.40000 294.00000 17311.92146
-58.40000 294.40000 17193.91977
-58.40000 294.80000 17030.61592
-58.40000 295.20000 17009.56773
-58.40000 295.60000 17138.65846
-58.40000 296.00000 17337.65827
-58.40000 296.40000 17510.94134
-58.40000 296.80000 17638.06558
-58.40000 297.20000 17748.96016
-58.40000 297.60000 17804.69205
-58.40000 298.00000 17689.51984
-58.40000 298.40000 17484.23179
-58.40000 298.80000 17466.72124
-58.40000 299.20000 17500.32337
-58.40000 299.60000 17431.78082
-58.40000 300.00000 17100.53942
-58.40000 300.40000 16527.31245
-58.40000 300.80000 16036.59737
-58.40000 301.20000 15754.10564
-58.40000 301.60000 15475.58920
-58.40000 302.00000 15112.98568
-58.40000 302.40000 14915.01317
-58.40000 302.80000 15011.56520
-58.40000 303.20000 15238.29176
-58.40000 303.60000 15273.17352
-58.40000 304.00000 14904.02667
-58.40000 304.40000 14245.88771
-58.40000 304.80000 13607.81963
-58.40000 305.20000 13261.86795
-58.40000 305.60000 13309.01248
-58.40000 306.00000 13651.88054
-58.40000 306.40000 14097.34017
-58.40000 306.80000 14474.88395
-58.40000 307.20000 14743.04721
-58.40000 307.60000 15017.14721
-58.40000 308.00000 15420.17692
-58.40000 308.40000 16118.81435
-58.40000 308.80000 17121.10315
-58.40000 309.20000 17910.68266
-58.40000 309.60000 18040.22779
-58.40000 310.00000 17686.23624
-58.40000 310.40000 17158.48066
-58.40000 310.80000 16620.39578
-58.40000 311.20000 16298.03419
-58.40000 311.60000 16425.87913
-58.40000 312.00000 16781.40062
-58.40000 312.40000 16969.79463
-58.40000 312.80000 17073.73413
-58.40000 313.20000 17353.36459
-58.40000 313.60000 17810.38292
-58.40000 314.00000 18287.04886
-58.40000 314.40000 18769.37577
-58.40000 314.80000 19233.87660
-58.40000 315.20000 19588.73990
-58.40000 315.60000 19732.71488
-58.40000 316.00000 19579.68862
-58.40000 316.40000 19176.69024
-58.40000 316.80000 18754.41251
-58.40000 317.20000 18386.04199
-58.40000 317.60000 18044.40522
-58.40000 318.00000 17977.37420
-58.40000 318.40000 18278.59765
-58.40000 318.80000 18709.67680
-58.40000 319.20000 19065.96705
-58.40000 319.60000 19206.15297
-58.40000 320.00000 19050.82884
-58.40000 320.40000 18668.17398
-58.40000 320.80000 18264.96345
-58.40000 321.20000 18102.89654
-58.40000 321.60000 18294.56118
-58.40000 322.00000 18661.04530
-58.40000 322.40000 19107.46741
-58.40000 322.80000 19809.68034
-58.40000 323.20000 20771.09392
-58.40000 323.60000 21491.43459
-58.40000 324.00000 21541.13438
-58.40000 324.40000 21149.85036
-58.40000 324.80000 20753.59253
-58.40000 325.20000 20541.20370
